"gene_id","keep_primary","total_count_primary","max_cpm_primary","samples_cpm_ge1_primary"
"ENSG00000163866",TRUE,50978,65.2910512401459,101
"ENSG00000189280",TRUE,1365,8.05492007080644,27
"ENSG00000189433",TRUE,870,4.32587883472937,22
"ENSG00000188910",TRUE,2234,10.1979721997366,35
"ENSG00000187513",TRUE,53310,82.9364001564068,101
"ENSG00000163867",TRUE,21677,26.9695016719825,101
"ENSG00000197056",TRUE,14877,18.5147614126417,101
"ENSG00000116560",TRUE,368655,502.098691604495,101
"ENSG00000146463",TRUE,97484,98.6915112991945,101
"ENSG00000142687",TRUE,142263,155.897483786078,101
"ENSG00000020129",TRUE,40147,43.07671751785,101
"ENSG00000116819",TRUE,2214,3.45964417329035,91
"ENSG00000126067",TRUE,110430,157.298488412268,101
"ENSG00000142686",TRUE,33957,35.4516438456058,101
"ENSG00000092853",TRUE,4482,20.1428171867127,96
"ENSG00000134698",TRUE,94334,124.257836928199,101
"ENSG00000092847",TRUE,78629,79.6963086298994,101
"ENSG00000126070",TRUE,56159,57.6719263229747,101
"ENSG00000092850",TRUE,14912,107.918513360508,72
"ENSG00000116863",TRUE,40765,59.9442638836864,101
"ENSG00000171812",TRUE,38188,59.8519285872385,101
"ENSG00000054116",TRUE,73744,68.6388956475306,101
"ENSG00000116871",TRUE,170897,188.453149688381,101
"ENSG00000054118",TRUE,189116,169.359515714916,101
"ENSG00000214193",TRUE,13514,25.0977325519573,101
"ENSG00000142694",TRUE,24937,77.4154563723991,101
"ENSG00000196182",TRUE,107304,130.214094373575,101
"ENSG00000181817",TRUE,29887,36.6722282368777,101
"ENSG00000116885",TRUE,16680,71.0387973101386,101
"ENSG00000116898",TRUE,60663,96.0915586879195,101
"ENSG00000119535",TRUE,256007,885.981126762593,101
"ENSG00000163873",TRUE,1322,8.18865635586249,31
"ENSG00000163874",TRUE,45617,107.718095677932,101
"ENSG00000163875",TRUE,67957,65.08354908004,101
"ENSG00000163877",TRUE,22742,25.9535970447717,101
"ENSG00000163879",TRUE,37399,151.675389576009,101
"ENSG00000134697",TRUE,68403,110.457452868174,101
"ENSG00000169218",TRUE,10355,20.6830204141411,100
"ENSG00000116922",TRUE,17989,19.6442589550175,101
"ENSG00000134690",TRUE,4316,14.2998625829334,93
"ENSG00000183317",TRUE,1872,5.50320899217248,53
"ENSG00000185090",TRUE,5878,8.27509224631125,100
"ENSG00000196449",TRUE,20303,27.7563393775424,101
"ENSG00000197982",TRUE,35856,62.0528560806,101
"ENSG00000188786",TRUE,44294,57.0326464132255,101
"ENSG00000204084",TRUE,65886,74.0759243770947,101
"ENSG00000183431",TRUE,98514,90.9355724841097,101
"ENSG00000183386",TRUE,26146,37.0506488345479,101
"ENSG00000183520",TRUE,34091,39.185420297707,101
"ENSG00000116954",TRUE,35257,42.8227067671716,101
"ENSG00000214114",TRUE,22784,47.4599624582628,101
"ENSG00000158315",TRUE,2515,7.65220594291065,64
"ENSG00000174574",TRUE,86210,108.156401580838,101
"ENSG00000168653",TRUE,114799,304.76687931819,101
"ENSG00000127603",TRUE,1369853,1722.89445036913,101
"ENSG00000183682",TRUE,4914,14.4762676829515,84
"ENSG00000090621",TRUE,201602,240.081687403705,101
"ENSG00000163909",TRUE,103599,170.882932280233,101
"ENSG00000116983",TRUE,1990,13.3599505461784,43
"ENSG00000084072",TRUE,52924,61.8550528460809,101
"ENSG00000116985",TRUE,5684,9.77483265690134,99
"ENSG00000043514",TRUE,22240,30.0781290738672,101
"ENSG00000116990",TRUE,8493,16.4068483352237,100
"ENSG00000168389",TRUE,98321,263.348104021673,101
"ENSG00000131236",TRUE,581317,683.365652555186,101
"ENSG00000131238",TRUE,310469,531.38210938223,101
"ENSG00000117000",TRUE,47659,68.6734094280829,101
"ENSG00000084073",TRUE,81103,88.7486203920407,101
"ENSG00000049089",TRUE,17775,36.4470913063593,101
"ENSG00000084070",TRUE,238285,377.691608363846,101
"ENSG00000187801",TRUE,2301,4.24220962856552,81
"ENSG00000187815",TRUE,7823,8.1736601945702,101
"ENSG00000164002",TRUE,10893,13.7415039459628,101
"ENSG00000117010",TRUE,5411,6.1253088799051,101
"ENSG00000117016",TRUE,25783,36.8937939719367,101
"ENSG00000066136",TRUE,63954,69.0554571093327,101
"ENSG00000117013",TRUE,5672,11.1502719675225,101
"ENSG00000179862",TRUE,12124,24.2836748162889,101
"ENSG00000171793",TRUE,37000,56.5774999588269,101
